# Tetrahedron method
       -2.2420190551        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -2.0895507786        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.9370825021        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.7846142256        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.6321459492        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.4796776727        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.3272093962        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.1747411198        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -1.0222728433        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.8698045668        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.7173362903        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.5648680139        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.4123997374        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.2599314609        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
       -0.1074631844        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.0450050920        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.1974733685        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000
        0.3499416450        0.0010811142        0.0050561036        0.0003510203        0.0003510203        0.0003486919
        0.5024099214        0.0022621245        0.0113981318        0.0007106402        0.0007106402        0.0007033710
        0.6548781979        0.0049926197        0.0275584546        0.0015133647        0.0015133647        0.0014893212
        0.8073464744        0.0077341980        0.0486861560        0.0022527924        0.0022527924        0.0021805196
        0.9598147509        0.0113165513        0.0831640856        0.0031339967        0.0031339967        0.0029808644
        1.1122830273        0.0303949243        0.3121169919        0.0054192821        0.0054192821        0.0066835686
        1.2647513038        0.0436287978        0.5250192161        0.0078764404        0.0078764404        0.0093919332
        1.4172195803        0.0684540546        1.0164814758        0.0125999234        0.0125999234        0.0152065925
        1.5696878567        0.0978048924        2.2357558919        0.0139739924        0.0139739924        0.0202033028
        1.7221561332        0.0821907620        2.8652856190        0.0104518360        0.0104518360        0.0206092611
        1.8746244097        0.0701367704        1.9055794168        0.0084936251        0.0084936251        0.0218608519
